uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1243
e605731b-2e81-41a9-8446-2ed442c339e2,,,Date,Date,Date,Date,Misc,Date,,
03d8524b-031f-489b-ba4e-13fa0eb84e5c,,,Service,Service,Service,Service,Misc,Text,,
411f4425-2e6d-424a-a52b-e37f47ea054f,,,Chirurgien,Surgeon,Chirurgien,Surgeon,Misc,Text,,
b50b7f8a-7974-4234-a2e4-e644e29841da,,,Anesthésistes,Anesthesiologists,Anesthésistes,Anesthesiologists,Misc,Text,,
34bd23af-c7f3-4289-884b-e37bf2919950,,,Adresse,Address,Adresse,Address,Misc,Text,,
fb9a986b-7125-4ec0-a608-343d5064a979,,,Numéro de téléphone,Phone number,Numéro de téléphone,Phone number,Misc,Text,,
271dba83-e84c-4cf4-a48f-e71bbeed4d2b,,,Profession du patient,Patient Job,Profession du patient,Patient Job,Misc,Text,,
f326eb67-b066-455f-8d4d-9e82602d4f01,Address;Phone number;Patient Job,,I.Identification du patient,I.Patient identification,I.Identification du patient,I.Patient identification,Misc,N/A,,
3ca6cd86-b240-4562-9e99-8a6fcfa0349a,,Yes full name;No full name,Glaucome ?,Glaucoma ?,Glaucome ?,Glaucoma ?,Misc,Coded,,
e49f1cc3-1410-4466-8335-9ed07ceac991,,Yes full name;No full name,Hypertension artérielle(HTA)?,Hypertension (HTA)?,Hypertension artérielle(HTA)?,Hypertension (HTA)?,Misc,Coded,,
db81147f-bcb8-4f1c-80ae-92a1cb24e76d,,Yes full name;No full name,Diabete ?,Diabetes ?,Diabete ?,Diabetes ?,Misc,Coded,,
8dcac8ea-5062-4c11-acd5-6fdafd2a2dc1,,Yes full name;No full name,BPGO ?,BPGO ?,BPGO ?,BPGO ?,Misc,Coded,,
231dda11-c008-44bc-97a4-c9cfbd19dd74,,Yes full name;No full name,Gastrite ?,Gastritis ?,Gastrite ?,Gastritis ?,Misc,Coded,,
aed03f31-868f-4d55-a706-269e5cac1b9d,,,Autres antécédents,Other history,Autres antécédents,Other history,Misc,Text,,
4a095cdf-aeb3-4d05-937f-37b66aac450c,,,L&D_Gravidité,L&D_Gravida,Gravidité,Gravida,Misc,Numeric,,,,,,no,,
1b65b16f-aaeb-4e28-b30a-b8a251239f8b,,,L&D_Parité,L&D_Parity,Parité,Parity,Misc,Numeric,,,,,,no,,
44f7fa2b-bce2-4822-8c06-e0fc659acc1f,,,Date derniers règles(DDR),Last period date,Date derniers règles(DDR),Last period date,Misc,Date,,
1063c70b-ba23-4eab-a9bc-408e7c6fa9ad,,,Âge gestationnel(AG),Gestational age(GA),Âge gestationnel(AG),Gestational age(GA),Misc,Text,,
fb376846-d500-4b39-b8ef-24f68e08d201,Gravida;Parity;Last period date;Gestational age(GA),,Gynéco-Obstétricaux,Gynecology-Obstetrics,Gynéco-Obstétricaux,Gynecology-Obstetrics,Misc,N/A,,
d9e5f2g8-5678-1234-9101-abcdef678901,,,AA,AA,AA,AA,Misc,N/A,,
e1f2g3h4-6789-2345-9102-abcdef678902,,,AS,AS,AS,AS,Misc,N/A,,
f3g4h5i6-7891-3456-9103-abcdef678903,,,SS,SS,SS,SS,Misc,N/A,,
ec8f3755-7a04-494e-bd56-4dd1502830c1,,AA;AS;SS,Hémoglobine(HB),Hemoglobin (HB),Hémoglobine(HB),Hemoglobin (HB),Misc,Coded,,
6cb2e405-ba6d-499d-9157-9890897df98f,,,GS(Groupe sanguin),BG(Blood grouping),GS(Groupe sanguin),BG(Blood grouping),Misc,Text,,
7acfafa4-f19b-485e-97a7-c9e002dbe37a,,,Positif,Positive,Positif,Positive,Misc,N/A,,
718b4589-2a11-4355-b8dc-aa668a93e098,,,Négatif,Negative,Négatif,Negative,Misc,N/A,,
a4a9da39-10d4-4f33-b9c9-735a2e1bd34a,,Positive;Negative,Rhesus,Rhesus,Rhesus,Rhesus,Misc,Coded,,
09128d42-091a-4e2d-95c7-79f76b1aea19,,,RAI,RAI,RAI,RAI,Misc,N/A,,
a3708d4e-564a-47ba-97dd-bcdb23d3c53d,,,Anticoagulants,Anticoagulants,Anticoagulants,Anticoagulants,Misc,N/A,,
b20db272-db43-4477-889f-af1d05bb4b3b,,RAI;Anticoagulants,Transfusionnels,Transfusions,Transfusionnels,Transfusions,Misc,coded,,
a39acdbf-02f1-4bad-ab30-805e40e3e7ae,,,Allergies,Allergies,Allergies,Allergies,Misc,Text,,
f13c4b5a-c386-47bb-98ac-7bb9a2f8cf41,,Yes full name;No full name,Alcool ?,Alcohol ?,Alcool ?,Alcohol ?,Misc,Coded,,
77d044fa-4d05-4205-8225-1b1474961033,,Yes full name;No full name,Tabac ?,Tobacco ?,Tabac ?,Tobacco ?,Misc,Coded,,
d2683500-ae5d-4e04-9318-3de3477005c1,,,Autres ?,Other ?,Autres ?,Other ?,Misc,Text,,
42dd2603-e704-4fde-a627-936e5f58a0b3,Alcohol ?;Tobacco ?;Other ?,,Toxicologiques:,Toxicological:,Toxicologiques:,Toxicological:,Misc,N/A,,
33101931-42ee-4f42-aad6-b0cd6e5b32b5,,,Chirurgicaux,Surgical,Chirurgicaux,Surgical,Misc,Text,,
75d061f9-e099-4352-8bff-a561611da241,,,Anesthésiques,Anesthetic,Anesthésiques,Anesthetic,Misc,Text,,
fe3bdad4-73f4-4d26-8763-e7461a8354e1,Surgical;Anesthetic,,Chirurgicaux et Anesthésiques,Surgical and Anesthetic,Chirurgicaux et Anesthésiques,Surgical and Anesthetic,Misc,N/A
15f33f0c-c9c6-4d01-b19d-bc0a899324e3,Glaucoma ?;Hypertension (HTA)?;Diabetes ?;BPGO ?;Gastritis ?;Other history;Gynecology-Obstetrics;Hemoglobin (HB);BG(Blood grouping);Rhesus;Transfusions;Allergies;Toxicological:;Surgical and Anesthetic,,II.Antécédents-Terrains et Mode de vie,II.History-Background and Lifestyle,II.Antécédents-Terrains et Mode de vie,II.History-Background and Lifestyle,Misc,N/A,,
e73666e2-3071-4e1f-8132-a1a611f79c4e,,,Résultat GB,WBC result,Résultat GB,WBC result,Misc,Text,,
8731ec9f-433e-46d5-96f0-058b8c6bea2b,,,Résultat GR,RBC result,Résultat GR,RBC result,Misc,Text,,
2f1c4b37-9f3c-453a-8c3c-f1fb8b758925,,,Résultat VGM,MCV result,Résultat VGM,MCV result,Misc,text,,
3643f00d-8c68-4f2b-9d6e-c3bfb20b4361,,,Résultat HB,HB result,Résultat HB,HB result,Misc,Text,,
68166909-a0b1-4c81-a66d-4a6196531a3b,,,Résultat HT,HT result,Résultat HT,HT result,Misc,Text,,
fefd1d41-bb72-413a-bb63-01d70b4077a7,WBC result;RBC result;HB result;MCV result;HT result,,Numération Frottis Sanguin(NFS),Blood Smear exam,Numération Frottis Sanguin(NFS),Blood Smear exam,Misc,N/A,,
69cfcb29-d6cf-46e0-9d5f-a96220d92de5,,,Résultat TP,PT result,Résultat TP,PT result,Misc,Text,,
1abf89c4-c3a4-4d55-b6d2-b98e7fca8e39,,,Résultat TCK,TCK result,Résultat TCK,TCK result,Misc,Text,,
d11e2234-d2bb-48fc-8f67-83541273d525,,,Résultat PLQ,PLQ result,Résultat PLQ,PLQ result,Misc,Text,,
d5d11133-018b-4abc-9986-b03cb87f6561,PT result;TCK result;PLQ result,,Examen Hémostase,Hemostasis exam,Examen Hémostase,Hemostasis exam,Misc,Text,,
736b7d4e-4394-473c-b8b9-d4b85623d8a4,,,Résultat Urée,Urea result,Résultat Urée,Urea result,Misc,Text,,
e426090e-0d87-48dd-a420-28c48b1a35ce,,,Résultat creat,Creat result,Résultat creat,Creat result,Misc,Text,,
81df5631-19aa-4a72-b4b4-185df2743995,,,Résultat Acide urique,Uric acid result,Résultat Acide urique,Uric acid result,Misc,Text,,
3dca3421-1506-4226-802b-f11898fc1d23,,Yes full name;No full name,Na+ ?,Na+ ?,Na+ ?,Na+ ?,Misc,Coded,,
98ae6dd3-42ed-468d-a374-b66a343c5f5b,,Yes full name;No full name,K+ ?,K+ ?,K+ ?,K+ ?,Misc,Coded,,
f3e7cd01-4f0c-4d9e-bcfc-1096bfe71729,,Yes full name;No full name,Cl- ?,Cl- ?,Cl- ?,Cl- ?,Misc,Coded,,
4a502138-40d1-4ff5-9ad1-b34d61db2479,,Yes full name;No full name,Ca++ ?,Ca++ ?,Ca++ ?,Ca++ ?,Misc,Coded,,
d595c99e-05e5-4209-991e-82332fcb40cb,,Yes full name;No full name,Mg+++ ?,Mg+++ ?,Mg+++ ?,Mg+++ ?,Misc,Coded,,
b4aec47b-8017-475a-a564-2fd2df4e8a3e,Na+ ?;K+ ?;Cl- ?;Ca++ ?;Mg+++ ?,,Examen Ionogramme,Electron Receptor exam,Examen Ionogramme,Electron Receptor exam,Misc,N/A,,
0d7ecfde-05bb-460e-ba70-1a85e80a7d0f,,,Test de glycémie,Blood sugar test,Test de glycémie,Blood sugar test,Misc,Text,,
cb4cc6c6-5215-4ea0-a50a-591e4a5ca619,,,"Examen HbA,C :","HbA,C exam:","Examen HbA,C :","HbA,C exam:",Misc,Text,,
c8d82562-9739-4811-8198-4d4db11bb2ee,,,Examen BU,Urine strip exam,Examen BU,Urine strip exam,Misc,Text,,
9578c4e9-138c-4609-991d-6122eeaac93e,,,RX Pulmonaire:,Chest X-ray:,RX Pulmonaire:,Chest X-ray:,Misc,Text,,
fac91942-c631-4534-b77c-66ff55cd8db0,,,Examen ECG:,ECG exam:,Examen ECG:,ECG exam:,Misc,Text,,
c1bddd04-5eea-4e61-bd22-9d0aaaf234b3,Blood Smear exam;Hemostasis exam;Urea result;Creat result;Uric acid result;Electron Receptor exam;Blood sugar test;cb4cc6c6-5215-4ea0-a50a-591e4a5ca619;Urine strip exam;Chest X-ray:;ECG exam:;d2683500-ae5d-4e04-9318-3de3477005c1,,III.Bilans,III.Assessments,III.Bilans,III.Assessments,Misc,N/A,,
fcb8a0da-9d09-40d2-baad-e8437dfaf52a,,,Valeur FR,RR value,Valeur FR,RR value,Misc,Text,,
6631b4ec-f1fd-42d9-a4e6-3b9fb014211a,,,Valeur SPO2(>97),SPO2 value(>97),Valeur SPO2(>97),SPO2 value(>97),Misc,Text,,
4e8a9138-6fa7-4262-9e93-bedad99bce84,,,Valeur TA,Blood pressure value,Valeur TA,Blood pressure value,Misc,Text,,
bb9187d8-d8cc-49ed-bbca-42588cbc2207,,,Valeur pouls,Pulse value,Valeur pouls,Pulse value,Misc,Text,,
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Poids,WEIGHT,Poids,Weight,Misc,Numeric,,,,,kg,yes,,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,,Taille,HEIGHT,Taille,Height,Misc,Numeric,,,,,cm,,,
4cba9da3-c7e4-43cc-9a07-229c73bb06e4,,,Valeur IMC,BMI value,Valeur IMC,BMI value,Misc,Text,,
23514e54-f9ac-4bd4-8cc9-1ed75d1266aa,,,Valeur T°(C),T°(C) value,Valeur T°(C),T°(C) value,Misc,Text,,
e6ccc402-950a-4380-a83e-f95f907fa1c8,,,Dyphnée(NYHA),Dyphnea (NYHA),Dyphnée(NYHA),Dyphnea (NYHA),Misc,Text,,
9a11887e-86e2-467c-a69f-c14ec972ddcc,,,CMI:,CMI:,CMI:,CMI:,Misc,Text,,
79aaaa72-3a87-4127-aa16-2ecdba151cda,,,Conjonctives:,Conjunctiva:,Conjonctives:,Conjunctiva:,Misc,Text,,
cf72cfc1-dd13-44bb-a7e4-b1449b97aba3,,,État général:,General Condition:,État général:,General Condition:,Misc,Text,,
811c8772-0fe0-46d8-a853-67714755e859,,,Cœur:,Heart:,Cœur:,Heart:,Misc,Text,,
d580feeb-0243-4c76-bbf4-66250c7dfd5c,,,Poumons:,Lungs:,Poumons:,Lungs:,Misc,Text,,
9f559025-2d89-45cb-9e2d-816a426431c1,,,Membres:,Limbs:,Membres:,Limbs:,Misc,Text,,
