uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1244
03d8524b-031f-489b-ba4e-13fa0eb84e5c,,,Service,Service,Service,Service,Misc,Text,,
250ba2e4-4e49-40ae-af52-878a1dc10f4b,,,Numéro de chambre,Room number,Numéro de chambre,Room number,Misc,Text,,
b84254e8-e7f2-4625-a40b-5999af356bc6,,,Lit,Bed,Lit,Bed,Misc,Text,,
425ef05e-1beb-418e-bfc0-4c00c572d75c,,,Date et heure,Date and time,Date et heure,Date and time,Misc,DateTime,,
23514e54-f9ac-4bd4-8cc9-1ed75d1266aa,,,Valeur T°(C),T°(C) value,Valeur T°(C),T°(C) value,Misc,Text,,
4e8a9138-6fa7-4262-9e93-bedad99bce84,,,Valeur TA,Blood pressure value,Valeur TA,Blood pressure value,Misc,Text,,
bb9187d8-d8cc-49ed-bbca-42588cbc2207,,,Valeur pouls,Pulse value,Valeur pouls,Pulse value,Misc,Text,,
dd3a9471-45e8-4e23-ba85-76bbb88776a3,,,Valeur Glycémie,Blood sugar value,Valeur Glycémie,Blood sugar value,Misc,Text,,
fcb8a0da-9d09-40d2-baad-e8437dfaf52a,,,Valeur FR,RR value,Valeur FR,RR value,Misc,Text,,
6631b4ec-f1fd-42d9-a4e6-3b9fb014211a,,,Valeur SPO2(>97),SPO2 value(>97),Valeur SPO2(>97),SPO2 value(>97),Misc,Text,,
f4a76119-8aff-4ea6-82a3-aba0c9bb3a5d,T°(C) value;Blood pressure value;Pulse value;Blood sugar value;RR value;SPO2 value(>97),,Paramètres vitaux(PV),Vital parameters(VP),Paramètres vitaux(PV),Vital parameters(VP),Misc,N/A,,
944d4259-9797-478b-91f3-92244d8646a5,,,Détails plaintes,Complaint details,Détails plaintes,Complaint details,Misc,Text,,
c2e2fc33-c2b2-4792-91c0-921e4fa5d9c2,,,Besoins spécifiques,Specific needs,Besoins spécifiques,Specific needs,Misc,Text,,
d11605f3-5e76-4f1e-a616-fa6df538cd49,,,Interventions/Infirmières,Interventions/Nurses,Interventions/Infirmières,Interventions/Nurses,Misc,Text,,
870c8a2d-6ff8-4fc7-8783-c42c8324d32a,,,Émargement,Signing off,Émargement,Signing off,Misc,Text,,
61fac734-6eab-4224-b035-ab9029cca835,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 1,Care 1,Soins 1,Care 1,Misc,N/A,,
3304818f-7e3c-416c-9e55-ccd3772f96ed,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 2,Care 2,Soins 2,Care 2,Misc,N/A,,
769e0854-e779-46c4-84cb-66730893ee73,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 3,Care 3,Soins 3,Care 3,Misc,N/A,,
9ed72eda-6390-4faf-8fa2-55feaa501386,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 4,Care 4,Soins 4,Care 4,Misc,N/A,,
715b908f-49ab-4ca4-aa8f-37899fb9f9c0,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 5,Care 5,Soins 5,Care 5,Misc,N/A,,
cd59ae51-806f-45f5-8d47-2ba638b2367b,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 6,Care 6,Soins 6,Care 6,Misc,N/A,,
bb913035-d4d1-4dee-87bb-fcb50bbf75e1,Date and time;Vital parameters(VP);Complaint details;Specific needs;Interventions/Nurses;Signing off,,Soins 7,Care 7,Soins 7,Care 7,Misc,N/A,,
94ce53a9-c6a2-49d0-a68d-759a122cd09b,Care 1;Care 2;Care 3;Care 4;Care 5;Care 6;Care 7,,Gestion des soins,Care management,Gestion des soins,Care management,Misc,N/A,,
274c4e61-cb66-477c-ae5c-98dbfde84ce0,Service;Room number;Bed;Date and time;Care management,,Fiche des soins infirmiers,Nursing care sheet,Fiche des soins infirmiers,Nursing care sheet,Misc,N/A,,
