uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1245
0e805bb0-4caa-49a0-a8db-96f6b5fb4277,,,Nom de l'assuré,Name of the insured,Nom de l'assuré,Name of the insured,Misc,Text,,
ba8fc7dd-5a87-4971-a3a0-6bf92e7e7e8b,,,Entreprise,Company,Entreprise,Company,Misc,Text,,
5ff3e948-60d7-4090-bd21-0f41d7e09e57,,,Secteur d'activité,Activity sector, Secteur d'activité,Activity sector,Misc,Text,,
22847bb6-7c8c-42ec-a734-e22c6cd60d5f,,,Matricule,Registration number,Matricule,Registration number,Misc,Text,,
a1f8b7c5-da51-4f07-a8e7-1206f94ad1bf,,,Nom du bénéficiaire,Name of the beneficiary,Nom du bénéficiaire,Name of the beneficiary,Misc,Text,,
99f1736a-0074-4e5c-bc5c-410b8505bc8a,,,Date de naissance,Date of birth,Date de naissance,Date of birth,Misc,Date,,
7312a9e7-3a7e-4e79-ac3b-4eefb466ba60,,,Salarié,Employee,Salarié,Employee,Misc,N/A,,
d64b22f8-88bc-46a8-a3a4-bba3ea329a14,,,Conjoint,Spouse,Conjoint,Spouse,Misc,N/A,,
4397ce84-e836-4295-9557-8c54242c952c,,,Parent,Parent,Parent,Parent,Misc,N/A,,
8a9ddbf4-e0c0-4fb6-a007-0f6ff7bdc837,,,Enfant,Child,Enfant,Child,Misc,N/A,,
6895d490-1ddc-4fd0-8cc9-d75dc0c2c251,,Employee;Spouse;Parent;Child,Lien de filiation,Relationship of kinship,Lien de filiation,Relationship of kinship,Misc,Coded,,
e605731b-2e81-41a9-8446-2ed442c339e2,,,Date,Date,Date,Date,Misc,Date,,
763fbb98-c656-4c3e-9c2e-153f5a35aa86,Date,,Consultation externes et soins externes,Outpatient consultation and care,Consultation externes et soins externes,Outpatient consultation and care,Misc,N/A,,
5689aea7-f8eb-41a9-a4af-edadb2b39e5b,,,Diagnostic d’entrée,Admission diagnosis,Diagnostic d’entrée,Admission diagnosis,Misc,Text,,
6b345968-fd22-4c2f-a8ed-f903333caf3d,Date;Admission diagnosis,,Détails Hospitalisation,Hospitalization details,Détails Hospitalisation,Hospitalization details,Misc,N/A,,
56c1fa6b-c1bb-449b-a66c-c100b3ef45e9,,,Njombe le,Njombe on,Njombe le,Njombe on,Misc,Date,,
112c81cf-4f1b-400c-8c08-36ec4f37db0b,,,Signature du médecin,Doctor's signature,Signature du médecin,Doctor's signature,Misc,Text,,
c1602aab-64ec-4402-8f9c-ee561f626a31,Name of the insured;Company;Activity sector;Registration number;Name of the beneficiary;Date of birth;Relationship of kinship;Outpatient consultation and care;Hospitalization details;Njombe on;112c81cf-4f1b-400c-8c08-36ec4f37db0b,,Demande de Bon de prise en charge,Request for a care voucher,Demande de Bon de prise en charge,Request for a care voucher,Misc,N/A,,
