uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1274
65335209-38e1-4c5a-ae72-0c371db4f378,,,Site du malade,Patient's site,Site du malade,Patient's site,Misc,Text,,
6c92841d-bc82-4b34-b1e2-b1379324aa7d,,,CDT,CDT,CDT,CDT,Misc,Boolean,,
ccd7f1ef-52e1-4a97-a28a-ae5fe3d93578,,,a)Date,a)Date,Date,Date,Misc,Date,,
12b20d87-092f-44c5-a779-e0375678bf8d,,,Tel 1, Tel 1,Tel 1, Tel 1,Misc,Text,,
a87b6c10-eba4-4d0c-ba15-5360eeaafb3f,,,Tel 2, Tel 2,Tel 2, Tel 2,Misc,Text,,
f4873173-0fee-484e-9f19-cde89ba842b4,,,Service/Lit ou Adresse,Department/Bed or Address,Service/Lit ou Adresse,Department/Bed or Address,Misc,Text,,

64cbb8b7-e2ab-434c-92e2-39af5e139722,,2975a776-a4cb-4323-aa0f-43ee0a67ebc2;5dcd9f36-9688-4b92-b42b-6c1e0300ff87,Type de TB,TB type,Type de TB,TB type,Misc,Coded,,

eaf98e45-aaab-412a-ab2b-56b04737347c,,,Hospitalisé,Hospitalized,Hospitalisé,Hospitalized,Misc,N/A,,
67eabd3d-9ee5-4fe4-8a36-e1902df9141d,,,Enfant,Child,Enfant,Child,Misc,N/A,,
676de379-5623-4b22-be8e-3c47ef31ede0,,eaf98e45-aaab-412a-ab2b-56b04737347c;a2f31381-448b-4ca4-9639-9df83e740442;67eabd3d-9ee5-4fe4-8a36-e1902df9141d,Catégorie(s),Categories,Catégorie(s),Categories,Misc,Coded,,

a63fa7f8-f624-4094-820e-600e16481110,,,Sous TARV:,On ARVs:,Sous TARV,On ARVs,Misc,N/A,,
42140180-0792-4b11-b172-45bf9065c7fd,,,Diabétique,Diabetic, Diabétique, Diabetic,Misc,N/A,,
d071e52b-4244-49c5-be0f-b03677fe93f0,,,Mal nourri,Malnourished,Mal nourri,Malnourished,Misc,N/A,,
d825ef4c-22a3-4c45-af8e-ce21b6195d6e,,,Autres:,Others:,Autres,Others,Misc,N/A,,
75d006b1-7d48-466b-9f5a-122334d0b59f,,a63fa7f8-f624-4094-820e-600e16481110;42140180-0792-4b11-b172-45bf9065c7fd;d071e52b-4244-49c5-be0f-b03677fe93f0;d825ef4c-22a3-4c45-af8e-ce21b6195d6e,Initiation des ARV:,ART Initiation:,Initiation des ARV,ART Initiation,Misc,Coded,,

1c188e1e-6299-4562-ab86-bbac99ec4597,,,a)Sueur nocturne,a)Night sweats,Sueur nocturne,Night sweats,Misc,N/A,,
15c6a38f-91e1-4599-8c2d-bdccf32112e4,,,a)Si autre préciser,a)If other specify,Si autre préciser,If other specify,Misc,Text,,
