uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type
e40872ed-176b-4789-a8c0-17f4a0eb9c38,,,Nom et prénom du malade,Patient Full Names,Nom complet,Full Name,Misc,Text
20391deb-fcb0-4274-805e-06a4d75c304b,,,Âge,Age,Âge,Age,Misc,Numeric
98b395d6-9f5b-43e9-aa5f-7b562e41f3e7,,Male;Female,Sexepatien,Sexpatien,,,Misc,Coded
a70c7969-d00e-4e94-8f8f-93abbdfe9a71,,,Chirurgien,Surgeon,Chirurgien,Surgeon,Misc,Text
8a8338d5-85fb-43d6-978a-c9cab3a16b9b,,,Aide chirurgien,Surgeon Assistant,Aide chir,Surg Assist,Misc,Text
55eecdbf-1a73-46ff-81e8-ced7f2f12f1a,,,Anesthésiste,Anesthesiologist,Anesthésiste,Anesthesia,Misc,Text
a5648ee0-f145-4a17-80f0-c6a0b5ad8896,,,Aide anesthésiste,Anesthesia Assistant,Aide anesth,Anesth Assist,Misc,Text
98d39526-72fa-4781-9160-03175eb0eb26,,,Instrumentiste,Surgical Technician,Instrumentiste,Scrub Tech,Misc,Text
f1672020-222c-4eeb-82ae-d83765923cae,,,Panseur,Dresser,Panseur,Dresser/Circulating Nurse,Misc,Text
d47f7a80-1445-49af-a2e8-707e86453a29,,,Type intervention,Intervention type,,,Misc,Text
1de29410-7d34-4e62-9b03-853181e8bc15,,,Heure annonce intervention,Surgery Announcement Time,Heure annonce,Announce Time,Misc,DateTime
ef71fb88-16c0-4fde-9864-f5ca54c04c1f,,salle1;salle2;salle3;salle4,Salle,Room,,,Misc,Coded
d0f2fd95-6863-4e07-b7be-65d910d26682,,,sallle1,Salle1,,,Misc,Text
d0381902-985f-426c-8b9b-5e18c63cad33,,,salle2,Salle2,,,Misc,Text
ff309177-e0d8-49a2-95ac-266047be1539,,,salle3,Salle3,,,Misc,Text
d756cb3c-2fd7-4324-9c94-998fc1dc35c5,,,salle4,Salle4,,,Misc,Text
2a9eeced-0796-4179-bdfa-f5fa9a7cdbac,,,Entrée au bloc,Entry to Operating Block,Entrée bloc,Block Entry,Misc,DateTime
05c6818a-0698-40ac-a79b-b5e1a2157f1f,,,Début incision,Incision Start Time,Début incision,Incision Start,Misc,DateTime
fdf65c61-8761-46e5-b799-d2745ceb16d6,,,Pièces anatomiques,Anatomical Specimens,Pièces anat,Specimens,Misc,DateTime
042c4b9e-d5fe-42a7-9fcd-1907ac20bf10,,,Fermeture incision,Incision Closure Time,Fermeture,Closure,Misc,DateTime
b0619d14-3773-4c48-8260-0b35f5c61705,,,Nombre de personnes en salle,Number of Persons in Room,Nb personnes,Room Count,Misc,DateTime
3fa0cba2-ca60-45ae-8d3d-90208a5b3107,,,Sortie du bloc,Exit from Operating Block,Sortie bloc,Block Exit,Misc,DateTime
c3281594-dcfe-4e3e-a960-ca780084262f,Patient Full Names;Age;Sexpatien,,patient information,information patient,,,ConvSet,N/A
581250a2-9b50-4ef2-9497-645d37ee292a,Surgeon Assistant;Anesthesiologist;Anesthesia Assistant;Surgical Technician,,equipe chirurgicale,surgical team,,,ConvSet,N/A
7723ee43-0970-4680-a543-e2ac5cb254af,Dresser;Intervention type;Room,,intervation chirurgicale,surgical procedure,,,ConvSet,N/A
0fee1f8f-fe46-4b83-bba9-87d9747cf827,Surgery Announcement Time;Entry to Operating Block;Incision Start Time;Anatomical Specimens;Incision Closure Time;Number of Persons in Room;Exit from Operating Block,,Suivi du calendrier chirurgical,surgical Time Tracking,,,ConvSet,N/A
c4a63859-1def-4a80-93fc-72c3ebe4ae2e,information patient;surgical team;surgical procedure;surgical Time Tracking,,ecology,ecology,,,Misc,N/A
