uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type
dbe25a28-edbc-40f0-9ecc-80fe0b8d18ea,,,Service_soin,Service_care,Service,Service,Misc,Text
28d8bb71-3bba-47b7-9d8c-f6fd93c874f5,,,Chambre_c,Room_c,,,Misc,Text
6b63310c-83ce-415a-8bbd-414eb7a44cd3,,,Lit,Bed,Lit,Bed,Misc,Text
ffe3b257-e77c-4ed1-87ac-a30ad5adeccd,,,Date_c,Date_c,,,Misc,Date
1f1ff689-e5db-492d-8d7e-6a0a6177ef7e,Planning 1;Planning 2;Planning 3;Planning 4;Planning 5;Planning 6;Planning 7;Planning 8,,Planification des soins,Care Planning,,,Misc,Text
703c2cff-8444-46c1-9f05-49e7e523215a,,,Planification 1,Planning 1,,,Misc,Text
8045d1c6-11e8-4138-9bfe-036c1b52c240,,,Planification 2,Planning 2,,,Misc,Text
77a08bec-dd04-47e1-8b95-044333cd87a7,,,Planification 3,Planning 3,,,Misc,Text
a9fc32fc-c718-4d30-ba01-c67f467591c4,,,Planification 4,Planning 4,,,Misc,Text
769cbe4b-f38b-455a-b046-519e08d9e3ea,,,Planification 5,Planning 5,,,Misc,Text
37515320-d274-46b2-85a9-087c9bb9f143,,,Planification 6,Planning 6,,,Misc,Text
d2f05bc4-5951-4b72-b8b9-88a6b28168d5,,,Planification 7,Planning 7,,,Misc,Text
6716052e-9a8f-4fe4-9883-751c621c924a,,,Planification 8,Planning 8,,,Misc,Text
90658bd6-64dd-422a-85af-da19392bc403,,,Intra-Veineuse,Intravenous,,,Misc,Text
1ab1e596-5c8a-474b-9839-6b4d7f235be9,,,Intra-Musculaire,Intramuscular,,,Misc,Text
5b4f12f5-2c4a-449f-87fb-7fda7e3ce7c9,,,Sous-cutanée,Subcutaneous,,,Misc,Text
e8501521-2724-4510-b9ce-c4d783ad061a,,,PER-OS,Per Os (Oral),,,Misc,Text
56adb20f-35c0-4124-b640-33a0490ed935,,,I.R (Intra-Rectal),Intra-Rectal,,,Misc,Text
b7bc6f8f-0c0a-4b4d-8476-91e617929a71,,,Nursing,Nursing Care,Soins inf,Nursing,Misc,Text
820e8317-d7fe-4351-9292-baaa365a3c40,,,Alimentation-c,Nutrition_c,Aliment,Nutrition,Misc,Text
303416c4-4c32-4652-8765-02c3cec6d1c2,Service;Room_c;bed;Date,,location patient,Patient Location:,,,ConvSet,N/A
320ba94b-2e23-4f2c-8354-75f28a1ab975,Care Planning,,structure de la Planification de  soinc,Care Planning Structure:,,,ConvSet,N/A
beceb73c-1770-4e54-9e0c-43a3879085ad,Intravenous;Subcutaneous;Per Os (Oral);Intra-Rectal;Nursing Care;Nutrition_c,,admin,Medication Administration Routes:,,,ConvSet,N/A
304b9abd-bc0d-46c5-9565-1c4f053d2af8,Patient Location:;Care Planning Structure:;Medication Administration Routes:,,Planification de soins,Care  of Planning,,,Misc,N/A
